date,direction,entry_ts,exit_ts,entry_price,exit_price,reason,pnl,bars_held,mae,mfe,init_atr,entry_hour,on_range,period,year
2020-12-01,LONG,2020-12-01 11:50:00-05:00,2020-12-01 15:10:00-05:00,12439.75,12430.25,SL_YELLOW,-9.5,10,-17.75,72.5,26.552305155910215,11,50.25,IS,2020
2020-12-03,LONG,2020-12-03 10:50:00-05:00,2020-12-03 12:10:00-05:00,12499.25,12518.406414471983,TP,19.156414471983226,4,-50.75,25.75,19.156414471982604,10,42.0,IS,2020
2020-12-07,LONG,2020-12-07 10:30:00-05:00,2020-12-07 11:30:00-05:00,12589.25,12612.25,TP,23.0,3,-13.0,23.0,16.579966402594458,10,64.75,IS,2020
2020-12-08,LONG,2020-12-08 13:50:00-05:00,2020-12-08 16:10:00-05:00,12629.5,12642.5,FORCE_CLOSE,13.0,7,-7.25,23.0,21.48684751502192,13,72.0,IS,2020
2020-12-09,SHORT,2020-12-09 11:50:00-05:00,2020-12-09 12:50:00-05:00,12575.75,12469.75,TP,106.0,3,-15.5,119.5,20.20914318392215,11,59.5,IS,2020
2020-12-10,LONG,2020-12-10 10:50:00-05:00,2020-12-10 12:50:00-05:00,12409.0,12364.5,SL_YELLOW,-44.5,6,-45.75,38.75,33.74013600256524,10,138.75,IS,2020
2020-12-14,LONG,2020-12-14 10:30:00-05:00,2020-12-14 13:10:00-05:00,12537.5,12472.75,SL_YELLOW,-64.75,8,-69.5,12.0,22.093580433610494,10,65.5,IS,2020
2020-12-15,LONG,2020-12-15 15:30:00-05:00,2020-12-15 16:10:00-05:00,12585.75,12603.25,FORCE_CLOSE,17.5,2,-14.25,23.0,21.148607730956098,15,146.5,IS,2020
2020-12-16,LONG,2020-12-16 15:30:00-05:00,2020-12-16 16:10:00-05:00,12691.25,12676.0,FORCE_CLOSE,-15.25,2,-25.0,13.5,22.425469501848575,15,69.0,IS,2020
2020-12-18,SHORT,2020-12-18 12:10:00-05:00,2020-12-18 14:10:00-05:00,12698.25,12672.25,TP,26.0,6,-26.25,26.75,22.521034088325898,12,82.75,IS,2020
2020-12-24,LONG,2020-12-24 10:30:00-05:00,2020-12-24 11:10:00-05:00,12710.75,12685.0,SL_YELLOW,-25.75,2,-33.0,13.25,13.83350927277609,10,46.5,IS,2020
2020-12-28,LONG,2020-12-28 13:10:00-05:00,2020-12-28 16:10:00-05:00,12835.75,12834.25,FORCE_CLOSE,-1.5,9,-11.75,19.75,16.699851410000374,13,172.25,IS,2020
2020-12-29,SHORT,2020-12-29 15:10:00-05:00,2020-12-29 16:10:00-05:00,12831.75,12846.75,FORCE_CLOSE,-15.0,3,-32.25,7.25,22.54165838546357,15,57.5,IS,2020
2020-12-31,SHORT,2020-12-31 12:30:00-05:00,2020-12-31 14:50:00-05:00,12822.25,12845.0,SL_YELLOW,-22.75,7,-26.5,17.75,14.678252482257038,12,30.25,IS,2020
